Id,State_Name,Season,Crop,Area,Production,soil_type
1,Andaman and Nicobar Islands,Kharif     ,Arecanut,1254,2000, Laterite
2,Andaman and Nicobar Islands,Kharif     ,Arecanut,1254,2061, Laterite
3,Andaman and Nicobar Islands,Whole Year ,Arecanut,1258,2083, Laterite
4,Andaman and Nicobar Islands,Whole Year ,Arecanut,1261,1525, Laterite
5,Andaman and Nicobar Islands,Whole Year ,Arecanut,1264.7,805.85, Laterite
6,Andaman and Nicobar Islands,Whole Year ,Arecanut,896,477.6, Laterite
7,Andaman and Nicobar Islands,Rabi       ,Arecanut,944,1610, Laterite
8,Andaman and Nicobar Islands,Kharif     ,Arecanut,3100,5200, Laterite
9,Andaman and Nicobar Islands,Kharif     ,Arecanut,3100,5239, Laterite
10,Andaman and Nicobar Islands,Whole Year ,Arecanut,1160,3011.7, Laterite
11,Andaman and Nicobar Islands,Rabi       ,Arecanut,1296,2290, Laterite
12,Andaman and Nicobar Islands,Whole Year ,Arecanut,3105,5267, Laterite
13,Andaman and Nicobar Islands,Whole Year ,Arecanut,3118,5182, Laterite
14,Andaman and Nicobar Islands,Whole Year ,Arecanut,3160.67,3975.2, Laterite
15,Andaman and Nicobar Islands,Whole Year ,Arecanut,3250.78,3058.46, Laterite
16,Andaman and Nicobar Islands,Whole Year ,Arecanut,2000,2350, Laterite
17,Andaman and Nicobar Islands,Rabi       ,Arecanut,1912,1900, Laterite
18,Andhra Pradesh,Whole Year ,Arecanut,252,696, Laterite
19,Andhra Pradesh,Whole Year ,Arecanut,257,430, Laterite
20,Andhra Pradesh,Whole Year ,Arecanut,263,379, Laterite
21,Andhra Pradesh,Whole Year ,Arecanut,266,189, Laterite
22,Andhra Pradesh,Whole Year ,Arecanut,268,214, Laterite
23,Andhra Pradesh,Whole Year ,Arecanut,217,150, Laterite
24,Andhra Pradesh,Whole Year ,Arecanut,325,232, Laterite
25,Andhra Pradesh,Whole Year ,Arecanut,356,169, Laterite
26,Andhra Pradesh,Whole Year ,Arecanut,409,182, Laterite
27,Andhra Pradesh,Whole Year ,Arecanut,541,267, Laterite
28,Andhra Pradesh,Kharif     ,Arecanut,558,302, Laterite
29,Andhra Pradesh,Kharif     ,Arecanut,453,186, Laterite
30,Andhra Pradesh,Whole Year ,Arecanut,6,17, Laterite
31,Andhra Pradesh,Whole Year ,Arecanut,7,12, Laterite
32,Andhra Pradesh,Whole Year ,Arecanut,7,10, Laterite
33,Andhra Pradesh,Whole Year ,Arecanut,6,4, Laterite
34,Andhra Pradesh,Whole Year ,Arecanut,6,5, Laterite
35,Andhra Pradesh,Whole Year ,Arecanut,19,13, Laterite
36,Andhra Pradesh,Whole Year ,Arecanut,20,19, Laterite
37,Andhra Pradesh,Whole Year ,Arecanut,20,19, Laterite
38,Andhra Pradesh,Whole Year ,Arecanut,20,8, Laterite
39,Andhra Pradesh,Kharif     ,Arecanut,22,62, Laterite
40,Andhra Pradesh,Kharif     ,Arecanut,23,69, Laterite
41,Andhra Pradesh,Whole Year ,Arecanut,4,11, Laterite
42,Andhra Pradesh,Whole Year ,Arecanut,4,7, Laterite
43,Andhra Pradesh,Whole Year ,Arecanut,18,26, Laterite
44,Andhra Pradesh,Whole Year ,Arecanut,18,13, Laterite
45,Andhra Pradesh,Whole Year ,Arecanut,9,4, Laterite
46,Andhra Pradesh,Whole Year ,Arecanut,8,12, Laterite
47,Andhra Pradesh,Whole Year ,Arecanut,12,9, Laterite
48,Andhra Pradesh,Whole Year ,Arecanut,10,8, Laterite
49,Andhra Pradesh,Whole Year ,Arecanut,10,7, Laterite
50,Andhra Pradesh,Whole Year ,Arecanut,5,5, Laterite
51,Andhra Pradesh,Whole Year ,Arecanut,1,1, Laterite
52,Andhra Pradesh,Kharif     ,Arecanut,1,1, Laterite
53,Andhra Pradesh,Whole Year ,Arecanut,9,6, Laterite
54,Andhra Pradesh,Whole Year ,Arecanut,9,7, Laterite
55,Andhra Pradesh,Whole Year ,Arecanut,9,6, Laterite
56,Andhra Pradesh,Whole Year ,Arecanut,9,9, Laterite
57,Andhra Pradesh,Whole Year ,Arecanut,9,9, Laterite
58,Andhra Pradesh,Whole Year ,Arecanut,20,9, Laterite
59,Assam,Whole Year ,Arecanut,4136,3174, Laterite
60,Assam,Whole Year ,Arecanut,2768,2338, Laterite
61,Assam,Whole Year ,Arecanut,2781,3015, Laterite
62,Assam,Whole Year ,Arecanut,2500,2411, Laterite
63,Assam,Rabi       ,Arecanut,2500,2411, Laterite
64,Assam,Rabi       ,Arecanut,2600,2361, Laterite
65,Assam,Rabi       ,Arecanut,2500,2036, Laterite
66,Assam,Rabi       ,Arecanut,2650,1798, Laterite
67,Assam,Whole Year ,Arecanut,7160,5360, Laterite
68,Assam,Whole Year ,Arecanut,7160,6649, Laterite
69,Assam,Whole Year ,Arecanut,7170,5801, Laterite
70,Assam,Whole Year ,Arecanut,7160,5895, Laterite
71,Assam,Whole Year ,Arecanut,6582,5326, Laterite
72,Assam,Whole Year ,Arecanut,6577,4671, Laterite
73,Assam,Whole Year ,Arecanut,6610,7728, Laterite
